Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-798,,,,,,,,,,,,
C-799,,,,,,,,,,,,
C-800,,,,,,,,,,,,
C-801,,,,,,,,,,,,
C-802,,,,,,,,,,,,
C-803,,,,,,,,,,,,
C-804,1989,Ford E-350/Wheeled Coach,,,Squad 2B (air bag unit) (? - 2000?),5 - 6 - 2 (2000? - 2006?),,,,,Sold at auction 2/6/2007,Squad 2B (Bill Friedrich) 5-6-2 (chicagofd.org)
C-805,,,,,,,,,,,,
C-806,,,,,,,,,,,,
C-807,,,,,,,,,,,,
C-808,,,,,,,,,,,,
C-809,,,,,,,,,,,,
C-810,,,,,,,,,,,,
C-811,,,,,,,,,,,,
C-812,,,,,,,,,,,,
C-813,1990,Ford E-350/Wheeled Coach,,Ambulance 9,,,,,,,,
C-814,,,,,,,,,,,,
C-815,,,,,,,,,,,,
C-816,,,,,,,,,,,,
C-817,,,,,,,,,,,,
C-818,,,,,,,,,,,,
C-819,,,,,,,,,,,,
C-820,,,,,,,,,,,,
C-821,1990,Ford E-350/Wheeled Coach,,Ambulance 52,,,,,,,,
C-822,,,,,,,,,,,,
C-823,,,,,,,,,,,,
C-824,,,,,,,,,,,,
C-825,,,,,,,,,,,,
C-826,,,,,,,,,,,,
C-827,,,,,,,,,,,,
C-828,,,,,,,,,,,,
C-829,,,,,,,,,,,,
C-830,,,,,,,,,,,,
C-831,1990,Ford E-350/Wheeled Coach,,,Spare ambulance,,,,,,,Spare ambulance (Smith Bros)
C-832,,,,,,,,,,,,
C-833,,,,,,,,,,,,
C-834,,,,,,,,,,,,
C-835,,,,,,,,,,,,
C-836,,,,,,,,,,,,
C-837,,,,,,,,,,,,
C-838,,,,,,,,,,,,
C-839,1990,Ford E-350/Wheeled Coach,,Ambulance 57 (6/13/1991 - ?),,,,,,,First vehicle assigned to Ambulance 57,
C-840,,,,,,,,,,,,
C-841,,,,,,,,,,,,
C-842,,,,,,,,,,,,
C-843,,,,,,,,,,,,
C-844,,,,,,,,,,,,
C-845,,,,,,,,,,,,
C-846,,,,,,,,,,,,
C-847,,,,,,,,,,,,
C-848,,,,,,,,,,,,
C-849,,,,,,,,,,,,
C-850,,,,,,,,,,,,
C-851,,,,,,,,,,,,
C-852,,,,,,,,,,,,
C-853,1992,Ford E-350/McCoy Miller,,Ambulance 23,,,,,,,,
C-854,1992,Ford E-350/McCoy Miller,,,Spare command van,4 - 2 - 12 OEMC Field Com,,,,,Became OEMC Field Com (had blue & red strobe lights and OEMC City of Chicago graphics); also known as Interoperability Van or OEMC Unified Command Van,Spare command van (Bill Friedrich) 4-2-12 (Smith Bros)
C-855,,,,,,,,,,,,
C-856,1992,Ford E-350/McCoy Miller,,,EMS Training Division,,,,,,Repainted white over red; Sold at auction 7/17/2004,
C-857,,,,,,,,,,,,
C-858,,,,,,,,,,,,
C-859,,,,,,,,,,,,
C-860,,,,,,,,,,,,
C-861,,,,,,,,,,,,
C-862,,,,,,,,,,,,
C-863,,,,,,,,,,,,
C-864,1993?,Ford E-350/McCoy Miller?,,,Apparatus Maintenance - Repair & Supply,,,,,,"Found in junkyard in Racine, WI 9/2013",
C-865,,,,,,,,,,,,
C-866,1993,Ford E-350/Wheeled Coach,,Ambulance 30,,,,,,,Actually McCoy Miller?,
C-867,,,,,,,,,,,,
C-868,,,,,,,,,,,,
C-869,,,,,,,,,,,,
C-870,1993,Ford E-350/McCoy Miller,,Ambulance 37,,,,,,,,
C-871,1993,Ford E-350/McCoy Miller,,,,,,,,,Repainted white over red; Sold at auction 4/15/2008,
C-872,,,,,,,,,,,,
C-873,,,,,,,,,,,,
C-874,,,,,,,,,,,,
C-875,,,,,,,,,,,,
C-876,,,,,,,,,,,,
C-877,,,,,,,,,,,,
