Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
F-47*,1916,Seagrave SF 1-piece,,Truck Co. 11 (1916 - 1921),Truck Co. 20 (11/1/1921 - 6/4/1925),Truck Co. 38 (9/16/1925 - 4/20/1947),,,,,,,"One piece ladder unit, shared designation as E&F 47",
F-48,1926,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 9 (7/17/1926 - 2/1956)),,,,,,,,,,
F-49,1926,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 7 (10/1926 - 3/10/1949),Truck Co. 35 (4/5/1954 - 6/15/1955),,,,,,,,,
F-50,1926,CFD SF (ladder trailer),,Truck Co. 11,Truck Co. 29 (9/12/1956 - 6/6/1959),Truck Co. 57 (8/12/1962 - 12/13/1968?),,,,,,,Later became Seagrave/CFD 85’?,
F-51,1926,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 12 (11/1926 - 9/26/1949),,,,,,,,,,
F-52,1926,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 21 (11/30/1926 - 10/12/1954),Truck Co. 45 (9/12/1956 - 1/18/1963?),Truck Co. 45 (6/14/1963 - 1/10/1969),,,,,,,,
F-53,1927,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 16 (9/19/1927 - 11/5/1954),Truck Co. 52 (1/2/1964 - 7/13/1967),,,,,,,,,
F-54,1927,Seagrave/RS 82’ (ladder trailer),,Truck Co. 18 (7/5/1928 - 2/14/1956),Truck Co. 2 (10/10/1927 - 6/19/1928),,,,,,,,,
F-55,1927,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 42 (1/1/1928 - 9/28/1931),Truck Co. 26 (10/3/1931 - 11/4/1954),,,,,,,,,
F-56,1927,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 41 (1/1/1928 - 1/26/1931),Truck Co. 37 (2/4/1931 - 9/12/1949),Truck Co. 37 (10/19/1949 - 6/7/1956),Truck Co. 37 (12/18-1959 - ?),,,,,,Aerial ladder cut off on 3/4/1959,
F-57,1927,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 39 (1/25/1928 - 12/29/1944),,Truck Co. 36 (1/24/1945 - 12/4/1967),,,,,,,,
F-58,1927,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 15 (3/1/1928 - 10/19/1954),,Truck Co. 24 (9/12/1956 - 10/17/1968),,,,,,,Damaged in Union Stockyards fire 5/19/1934 & rebuilt by shops,
F-59,,,,,,,,,,,,,,
F-60,1928,CFD SF (ladder trailer),,Truck Co. 32 (6/27/1928 - 5/12/1932),,,,,,,,,,
F-61,1928,Seagrave 82’ (ladder trailer),,Truck Co. 2 (10/22/1928 - 9/29/1944),Truck Co. 22 (12/19/1944 - 8/18/1949),Truck Co. 29 (10/27/1949 - 12/22/1955),,,,,,,,
F-62,1928,Seagrave 85’ (ladder trailer),,Truck Co. 1 (10/23/1928 - 1/15/1943),Truck Co. 44 (1/10/1945 - 8/29/1949),Truck Co. 31 (1/26/1943 - 12/12/1944),Truck Co. 46 (8/7/1951 - 9/15/1954),Truck Co. 52 (11/9/1954 - 1/2/1964),,,,,,
F-63,1928,Seagrave 83’ (ladder trailer),,Truck Co. 6 (11/17/1928 - 5/14/1942),Truck Co. 14 (6/3/1942 - 10/18/1949),Truck Co. 43 (12/6/1954 - 11/16/1968),,,,,,,,
F-64,1928,Seagrave 85’ (ladder trailer),,Truck Co. 47 (12/1/1928 - 4/13/1934),Truck Co. 31 (4/13/1934 - 11/19/1934),Truck Co. 47 (11/19/1934 - 3/8/1956),,Truck Co. 23 (11/2/1956 - 10/3/1967),,,,,Truck Co. 47’s rig loaned to Truck 31 for Century of Progress in 1934,
F-65,1929,Seagrave 83’ (ladder trailer),,Truck Co. 51 (12/16/1929 - 4/14/1934),Truck Co. 4 (4/14/1934 - 11/19/1934),Truck Co. 51 (11/19/1934 - 11/9/1949),Truck Co. 42 (6/27/1951 - 11/13/1968),,,,,,,
F-66,1929,Seagrave/CFD 82’ (ladder trailer),,Truck Co. 14 (9/11/1929 - 5/27/1942),Truck Co. 13 (12/11/1942 - 10/3/1949),Truck Co. 35 (11/16/1949 - 4/5/1954),,,,,,,Rebuilt from F-4 (1905),
F-67,1930,Seagrave/CFD 75’ (ladder trailer),,Truck Co. 25 (4/2/1930 - 12/3/1942),Truck Co. 41 (3/17/1943 - 9/28/1954),,,,,,,,"Rebuilt from F-12, originally a 1904 Seagrave; first rebuild: 2/8/1915; second rebuild: 4/2/1930 (when it became F-67)",
F-68*,1928,Seagrave CS 1-piece,,Truck Co. 46 (10/3/28 - 8/7/1951),,,,,,,,,"One piece ladder unit, shared designation as E&F 68",
F-69*,1928,Seagrave,,Truck Co. 23 (12/6/1928 - 2/23/1945),,Truck Co. 23 (2/9/1946 - 3/2/1946),Truck Co. 24 (10/31/1946 - 5/25/1955),,,,,,"One piece ladder unit, shared designation as E&F 69",
F-70,1936,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 4 (8/10/1936 - 10/14/1949),,Truck Co. 30 (3/22/1950 - 5/24/1956),,,,,,,,
F-71,1936,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 5 (4/3/1937 - 11/19/1946),Truck Co. 20 (12/28/1946 - 7/9/1954),Truck Co. 35 (6/15/1955 - 10/11/1957),Truck Co. 29 (6/6/1959 - 1/2/1968),,,,,,,
F-72,1938,American LaFrance/CFD ’85 (ladder trailer),,Truck Co. 28 (11/30/1938 - 6/14/1957),Truck Co. 35 (10/11/1957 - 4/16/1970),,,,,,,,,
F-73,1938,American LaFrance/CFD ’85 (ladder trailer),,Truck Co. 17 (12/22/1938 - 1/19/1967),Truck Co. 36 (12/4/1967 - 5/18/1970),,,,,,,,,
F-74*,1929,Seagrave,,Truck Co. 50 (7/5/1929 - 3/22/1946),Truck Co. 52 (6/7/1949 - 11/5/1949),Truck Co. 56 (2/1/1954 - 12/27/1959),,,,,,,"One piece ladder unit, shared designation as E&F 74",
F-75*,1929,Seagrave,,Truck Co. 45 (7/15/1929 - 4/22/1932),Truck Co. 52 (4/22/1932 - 2/7/1946),Truck Co. 50 (3/22/1946 - 10/20/1949),Truck Co. 55 (3/1/1950 - 5/20/1959),,,,,,"One piece ladder unit, shared designation as E&F 75",
F-76,,,,,,,,,,,,,,
F-77,,,,,,,,,,,,,,
F-78,,,,,,,,,,,,,,
F-79,,,,,,,,,,,,,,
F-80,,,,,,,,,,,,,,
F-81,,,,,,,,,,,,,,
F-82,,,,,,,,,,,,,,
F-83,,,,,,,,,,,,,,
F-84,1942,American LaFrance 100’ (ladder trailer),,Truck Co. 6 (5/14/1942 - 8/1/1963),,,Truck Co. 31 (8/1/1963 - ?),Truck Co. 35 (4/16/1970 - 12/9/1972),,,,,,
F-85,1942,American LaFrance 100’ (ladder trailer),,Truck Co. 3 (5/13/1942 - 12/5/1942),Truck Co. 1 (1/15/1943 - 2/13/1967),,,,,,,,,
F-86,1942,Pirsch 100’ (ladder trailer),,Truck Co. 3 (12/5/1942 - 10/5/1959),Truck Co. 44 (1/29/1960 - 5/6/1966),Truck Co. 5 (8/5/1966 - 12/16/1966),Truck Co. 1 (2/13/1967 - 2/17/1967),Truck Co. 1 (9/15/1967 - 4/16/1968),Truck Co. 34 (7/1/1968 - 9/3/1970),Truck Co. 42 (6/16/1971 - 11/8/1976),Truck Co. 62 (12/17/1976 - 12/6/1978),Truck Co. 24 (1/18/1979 - 8/29/1979),,
F-87,,,,,,,,,,,,,,
F-88,,,,,,,,,,,,,,
F-89,,,,,,,,,,,,,,
F-90,,,,,,,,,,,,,,
F-91,,,,,,,,,,,,,,
F-92,,,,,,,,,,,,,,
F-93,,,,,,,,,,,,,,
F-94,,,,,,,,,,,,,,
F-95,,,,,,,,,,,,,,
F-96,,,,,,,,,,,,,,
F-97,1944,Pirsch 85’ (ladder trailer),,Truck Co. 2 (9/29/1944 - 5/28/1954),,Truck Co. 28 (6/14/1957 - 3/30/1970),,,,,,,,
F-98,1944,Pirsch 85’ (ladder trailer),,Truck Co. 31 (12/12/1944 - 8/1/1963),Truck Co. 15 (5/27/1964 - 10/3/1967),Truck Co. 16 (11/16/1968 - 1/3/1969),Truck Co. 29 (1/2/1968 - 6/20/1972),Truck Co. 58 (6/30/1972 - 2/12/1975),,,,,*Conflict,
F-99,1944,Pirsch 85’ (ladder trailer),,Truck Co. 39 (12/29/1944 - 2/25/1960),Truck Co. 38 (2/27/1960 - ?),Truck Co. 56 (7/6/1964 - 7/16/1965),Truck Co. 38 (8/17/1965? - 12/8/1972),Truck Co. 35 (12/9/1972 - 1/3/1973),,,,,A traffic accident plus fires reduced this rig to 70’ by time at Truck 38,
F-100,,,,,,,,,,,,,,
F-101,,,,,,,,,,,,,,
F-102,,,,,,,,,,,,,,
F-103,,,,,,,,,,,,,,
F-104,,,,,,,,,,,,,,
F-105,,,,,,,,,,,,,,
F-106,,,,,,,,,,,,,,
F-107,1946,Pirsch 85’ (ladder trailer),,Truck Co. 5 (11/19/1946 - 7/30/1959),Truck Co. 34 (12/24/1959 - 7/1/1968),Truck Co. 12 (7/11/1968 - 1/11/1970),,Truck Co. 47 9/29/1971 - 3/18/1973),,,,,,
F-108,1946,Pirsch 85’ (ladder trailer),,Truck Co. 10 (12/20/1946 - 6/12/1954),Truck Co. 48 (2/1/1956 - 11/2/1966),Truck Co. 1 (2/17/1967 - 9/15/1967),Truck Co. 15 (10/3/1967 - 11/16/1968),Truck Co. 19 (7/18/1969 - 5/25/1970),Truck Co. 47 (9/4/1970 - 9/29/1971),,,,,
F-109,1949,Pirsch 85’ (ladder trailer),,Truck Co. 22 (8/18/1949 - 12/13/1968),Truck Co. 57 (12/13/1968 - 3/4/1972),,,,,,,,,
F-110,1949,FWD 85’ (ladder trailer),,Truck Co. 25 (8/24/1949 - 3/14/1974),Truck Co. 50 (9/20/1975 - 2/19/1976),,,,,,,,,
F-111,1949,FWD 85’ (ladder trailer),,Truck Co. 44 (8/29/1949 - 1/29/1960),Truck Co. 54 (8/5/1966 - 3/22/1967),Truck Co. 52 (7/13/1967 - 4/10/1975),,,,,,,New wooden aerial ladder installed summer 1967,
F-112,1949,FWD 85’ (ladder trailer),,Truck Co. 40 (9/1/1949 - 1/5/1967),,,,,,,,,,
F-113,1949,FWD 85’ (ladder trailer),,Truck Co. 37 (9/12/1949 - 10/19/1949),Truck Co. 51 (11/9/1949 - 5/22/1970),Truck Co. 13 (6/29/1970 - 11/5/1975),,,,,,,Truck 13 also used F-116 again during period with F-113,
F-114,1949,FWD 85’ (ladder trailer),,Truck Co. 11,Truck Co. 59 (4/2/1957 - 3/12/1970),Truck Co. 28 (3/30/1970 - 6/5/1970),,,,,,,,
F-115,1949,FWD 85’ (ladder trailer),,Truck Co. 12 (9/26/1949 - 10/17/1967),Truck Col. 42 (11/15/1968 - 6/16/1971),,,,,,,,,
F-116,1949,FWD 85’ (ladder trailer),,Truck Co. 13 (10/3/1949 - 6/29/1970),Truck Co. 29 (4/11/1973 - 7/23/1973),Truck Co. 37 (9/13/1972 - 3/9/1973),,,,,,,,
F-117,1949,FWD 85’ (ladder trailer),,Truck Co. 7 (9/30/1949 - 9/11/1970),Truck Co. 23 (9/12/1970 - 3/28/1973),Truck Co. 57 (6/5/1973 - 6/12/1975),,,,,,,,
F-118,1949,FWD 85’ (ladder trailer),,Truck Co. 4 (10/14/1949 - 1/28/1967),,Truck Co. 24 (10/17/1968 - 6/7/1972),,Truck Co. 24 (11/12/1974 - 11/6/1975),,,,,,
F-119,1949,FWD 85’ (ladder trailer),,Truck Co. 14 (10/18/1949 - 4/3/1970),,,,,,,,,,
F-120,1949,FWD 85’ (ladder trailer),,Truck Co. 50 (10/20/1949 - 3/8/1972),,,,,,,,,,
F-121,,,,,,,,,,,,,,
F-122,,,,,,,,,,,,,,
F-123,1954,Pirsch 85’ (ladder trailer),,Truck Co. 2 (5/28/1954 - 11/16/1968),Truck Co. 15 (11/16/1968 - 1/10/1969),Truck Co. 14 (9/11/1970 - 9/24/1976),Truck Co. 35 (3/13/1974 - 7/8/1974),,,,,,*Conflict,
F-124,1954,Pirsch 85’ (ladder trailer),,Truck Co. 10 (6/12/1954 - 7/28/1959),Truck Co. 5 (7/30/1959 - 6/3/1966),Truck Co. 46 (3/11/1968 - 7/19/1970),Truck Co. 44 (5/6/1966 - 10/17/1967),Truck Co. 41 (5/2/1972 - 8/23/1976),,,,,,
F-125,1954,Pirsch 85’ (ladder trailer),,Truck Co. 27 (6/29/1954 - 3/21/1975),,,,,,,,,,
F-126,1954,Pirsch 85’ (ladder trailer),,Truck Co. 20 (7/9/1954 - 5/27/1970),,,Truck Co. 35 (1/3/1973 - 3/13/1974),,,,,,Alternately listed as 12/9/1972 for Truck 35 start date,
F-127,,,,,,,,,,,,,,
F-128,1954,Pirsch 85’ (ladder trailer),,Truck Co. 34 (7/16/1954 - 10/15/1958),Truck Co. 11 (7/17/1959 - 1/30/1970),Truck Co. 19 (1/25/1971 - 3/4/1972),Truck Co. 24 (11/6/1975 - 1/18/1979),,,,,,Aerial ladder replaced with 100’ Pirsch aluminum model in 1959 after wooden aerial destroyed in accident 10/1958,
F-129,,,,,,,,,,,,,,
F-130,1954,FWD 85’ (ladder trailer),,Truck Co. 46 (9/15/1954 - 7/10/1967),,Truck Co. 23 (10/3/1967 - 9/12/1970),,,,,,,,
F-131,,,,,,,,,,,,,,
F-132,1954,FWD 85’ (ladder trailer),,Truck Co. 33 (9/17/1954 - 7/27/1967),Truck Co. 33 (11/15/1968 - 5/29/1975),,,,,,,,,Truck 33 (Steve Redick)
F-133,1954,FWD 85’ (ladder trailer),,Truck Co. 41 (9/28/1954 - 5/2/1972),,Truck Co. 24 (6/9/1972 - 11/12/1974),Truck Co. 54 (9/20/1973 - 1/30/1975),,,,,,*Conflict,
F-134,1954,FWD 85’ (ladder trailer),,Truck Co. 21 (10/12/1954 - 9/28/1969),Truck Co. 54 (10/7/1969 - 5/18/1970),,,,,,,,,
F-135,1954,FWD 85’ (ladder trailer),,Truck Co. 32 (9/30/1954 - 7/27/1970),Truck Co. 14 (4/3/1970 - 9/11/1970),,,,,,,,*Conflict,
F-136,1954,FWD 85’ (ladder trailer),,Truck Co. 19 (10/8/1954 - 7/6/1962),Truck Co. 9 (9/3/1963 - 7/14/1967),Truck Co. 48 (7/24/1967 - 3/16/1970),Truck Co. 32 (3/27/1970 - 8/4/1980),,,,,,Aerial ladder replaced with F-156 in 1963,
F-137,1954,FWD 85’ (ladder trailer),,Truck Co. 26 (11/4/1954 - 8/12/1965),Truck Co. 26 (12/14/1965 - 9/1/1967),Truck Co. 54 (10/17/1967 - 10/7/1969),Truck Co. 26 (10/7/1969 - 4/13/1970),Truck Co. 54 (5/22/1970 - 8/28/1973),,,,,Accident in 1960 reduced this ladder to 74’,
F-138,1954,FWD 85’ (ladder trailer),,Truck Co. 8 (10/19/1954 - 9/28/1969),Truck Co. 21 (9/28/1969 - 7/7/1970),Truck Co. 57 (4/11/1972 - 6/5/1973),,,,,,,,
F-139,1954,FWD 85’ (ladder trailer),,Truck Co. 15 (10/19/1954 - 3/18/1964),Truck Co. 62 (7/9/1964 - ?),Truck Co. 39 (5/24/1969? - 6/16/1969),,,,,,,,
F-140,1954,FWD 85’ (ladder trailer),,Truck Co. 16 (11/5/1954 - 11/16/1968),Truck Co. 43 (11/16/1968 - 9/8/1971),Truck Co. 61 (3/2/1972 - 4/26/1972),Truck Co. 50 (4/28/1972 - 2/27/1973),,,,,,,
F-141,1954,FWD 85’ (ladder trailer),,Truck Co. 57 (1/18/1955 - 5/22/1962),Truck Co. 19 (7/6/1962 - 11/16/1962),,,,,,,,,
F-142,,,,,,,,,,,,,,
F-143,1956,FWD 85’ (ladder trailer),,Truck Co. 37 (6/7/1956 - 12/18/1959),Truck Co. 60 (12/20/1959 - 2/7/1975),,,,,,,,,
F-144,1956,FWD 85’ (ladder trailer),,Truck Co. 18 (2/14/1956 - 9/17/1970),Truck Co. 37 (1/21/1971 - 11/6/1971),,,,,,,,,
F-145,1956,FWD 85’ (ladder trailer),,Truck Co. 9 (2/16/1956 - 9/3/1963),Truck Co. 37 (9/4/1963 - 12/20/1963),Truck Co. 37 (3/27/1967 - 10/14/1968),Truck Co. 37 (11/12/1968 - 12/17/1969),Truck Co. 61 (11/16/1970 - 2/21/1974),,,,,,
F-146,1956,FWD 85’ (ladder trailer),,Truck Co. 47 (3/8/1956 - 9/4/1970),Truck Co. 50 (2/27/1973 - 8/25/1974),,,,,,,,,
F-147,1956,FWD 85’ (ladder trailer),,Truck Co. 30 (5/24/1956 - 2/24/1970),Truck Co. 61 (8/29/1961 - 3/2/1972),,,,,,,,*Conflict,
F-148,1956,FWD 85’ (ladder trailer),,Truck Co. 56 (5/16/1956 - 6/30/1972),Truck Co. 29 (6/30/1972 - 4/6/1973),Truck Co. 35 (7/8/1974 - 7/15/1976),,,,,,,,
F-149,1956,FWD 85’ (ladder trailer),,Truck Co. 11 (? - 7/17/1959),Truck Co. 55 (7/31/1959 - 6/1975),,,,,,,,,
F-150*,1959,Mack B/Magirus 100’ rear mount,,Truck Co. 10 (7/28/1959 - 1/5/1969),Truck Co. 45 (1/10/1969 - 5/21/1976),Truck Co. 8 (6/3/1976 - 4/26/1977),Truck Co. 59 (4/27/1977 - 5/5/1977),,,,,,"One piece ladder unit, shared designation as E&F-150",
F-151*,1959,Mack B/Magirus 100’ rear mount,,Truck Co. 3 (10/5/1959 - 2/23/1960),Truck Co. 39 (2/25/1960 - 4/29/1960),Truck Co. 30 (11/2/1960 - 2/24/1970),Truck Co. 59 (3/12/1970 - 4/27/1977),,,,,,"One piece ladder unit, shared designation as E&F-151",
F-152*,1959,Mack B/Magirus 144’ rear mount,,Truck Co. 3 (2/23/1960 - 5/24/1969),Truck Co. 8 (9/28/1969 - 6/3/1976),,,,,,,,"One piece ladder unit, shared designation as E&F-152",
F-153*,1959,Mack B/Magirus 144’ rear mount,,Truck Co. 39 (4/29/1960 - 5/24/1969?),Truck Co. 3 (5/24/1969 - 1/15/1970),Truck Co. 2 (1/28/1970 - 1/20/1975),,,,,,,"One piece ladder unit, shared designation as E&F-153",
F-154,,,,Truck Co. 37 (12/20/1963 - 6/9/1965),Truck Co. 35 (7/12/1966 - 4/16/1970),Truck Co. 25 (7/24/1970 - 3/14/1974),Truck Co. 54 (1/30/1975 - 7/7/1977),,,,,,,
F-155,,,,Truck Co. 15 (4/1960 - 8/1/1963),Truck Co. 54 (8/31/1963 - 2/11/1964),Truck Co. 26 (4/17/1967 - 9/1/1967),Truck Co. 12 (9/6/1967 - 1/23/1968),Truck Co. 24 (8/21/1973 - 11/12/1974),,,,,,
F-156,1963,Seagrave 100’ aerial only,,Truck Co. 48,Truck Co. 9 (9/3/1963 - 7/14/1967),,,,,,,,Mounted on trailer F-136,
F-157*,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 56 (12/2/1966 - 2/22/1978),,,,,,,,,"One piece ladder unit, shared designation as E&F-157",
F-158*,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 4 (1/28/1967 - 2/18/1974),Truck Co. 25 (3/14/1974 - 5/25/1977),,,,,,,,"One piece ladder unit, shared designation as E&F-158",
F-159*,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 17 (1/19/1967 - 4/7/1978),,,,,,,,,"One piece ladder unit, shared designation as E&F-159",
F-160*,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 5 (12/16/1966 - 10/27/1972),Truck Co. 38 (12/8/1972 - 3/23/1978),Truck Co. 34 (4/26/1981 - ?),,,,,,,"One piece ladder unit, shared designation as E&F-160",
F-161*,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 40 (1/5/1967 - 7/5/1977),,,,,,,,,"One piece ladder unit, shared designation as E&F-161",
F-162*,1966?,Mack C/Pirsch 100’ mid mount?,,,,,,,,,,,"One piece ladder unit, shared designation as E&F-162",
F-163,,,,Truck Co. 29,Truck Co. 58 (6/30/1972 - 2/12/1975),Truck Co. 19 (3/13/1975 - 10/24/1975),Truck Co. 24 (11/6/1975 - 1/18/1979),,,,,,,
F-164,,,,Truck Co. 42 (6/16/1971 - 11/8/1976),Truck Co. 62 (12/17/1976 - 12/6/1978),Truck Co. 24 (1/18/1979 - 8/29/1979),,,,,,,,
F-165,,,,Truck Co. 48 (10/17/1968 - 3/16/1970),Truck Co. 32 (3/27/1970 - 8/4/1980),,,,,,,,,
F-166*,1967,Seagrave 100’ mid-mount aerial,,Truck Co. 26 (9/1/1967 - 10/7/1969),Truck Co. 31 (3/9/1970 - 12/14/1978),Truck Co. 46 (4/30/1971 - 11/16/1971),Reserve Truck RT7,,,,,,"One piece ladder unit, shared designation as E&F-166",
F-167*,1967,Seagrave 100’ rear-mount aerial “Rear Admiral”,,Truck Co. 9,Truck Co. 11 (1/30/1970 - 4/24/1970),Truck Co. 36 (5/18/1970 - 5/4/1976),Truck Co. 35 (7/15/1976 - 7/3/1979),Truck Co. 2,,,,,"One piece ladder unit, shared designation as E&F-167",
F-168*,1967,Seagrave 100’ mid-mount aerial,,Truck Co. 44 (10/17/1967 - 1/20/1975),Truck Co. 60 (2/7/1975 - 12/15/1978),,,,,,,,"One piece ladder unit, shared designation as E&F-168",
F-169*,1968,Seagrave 100’ rear-mount aerial “Rear Admiral”,,Truck Co. 1 (4/16/1968 - 3/22/1973),Truck Co. 29 (7/23/1973 - 12/16/1978),Truck Co. 32 (8/4/1980 - 2/14/1981),,,,,,,"One piece ladder unit, shared designation as E&F-169",
F-170*,1968,Mack CF/Pirsch 100’ rear mount,,Truck Co. 22 (12/13/1968 - 1/30/1973),Truck Co. 47 (7/2/1973 - 5/5/1977),Truck Co. 16 (5/20/1977 - 12/20/1978),Truck Co. 35 (7/3/1979 - 7/23/1981),Truck Co. 34,,,,,1-piece truck,
F-171*,1968,Mack CF/Pirsch 100’ rear mount,,Truck Co. 16 (1/3/1969 - 2/1/1977),,,,,,,,,"One piece ladder unit, shared designation as E&F-171; Pirsch 100’ aerial later salvaged and later beceme F-229",
F-172*,1968,Mack CF/Pirsch 100’ rear mount,,Truck Co. 15 (1/10/1969 - 1/19/1973),Truck Co. 37 (3/9/1973 - 12/19/1980),Truck Co. 32,Truck Co. 42 (5/26/1981 - 12/8/1982),,,,,,"One piece ladder unit, shared designation as E&F-172",
F-173*,1968,Seagrave 100’ rear-mount aerial “Rear Admiral”,,Truck Co. 63,,,,,,,,,"One piece ladder unit, shared designation as E&F-173",
F-174*,1969,Seagrave 100’ rear mount aerial,,Truck Co. 3 (1/15/1970 - 2/28/1973),Truck Co. 23 (3/28/1973 - 4/8/1982),,,,,,,,"One piece ladder unit, shared designation as E&F-174",
F-175*,1969,Seagrave 100’ rear mount aerial,,Truck Co. 30 (2/24/1970 - 3/29/1982),,,,,,,,,"One piece ladder unit, shared designation as E&F-175",
F-176*,1970,Seagrave 100’ rear mount aerial,,Truck Co. 48 (3/16/1970 - 3/24/1982),Truck Co. 7 (7/18/1991 - 4/16/1996),Truck Co. 4 (5/1996 - 1/11/2001),Truck Co. 44 (1/10/2002 - 1/15/2002),,,,,,"One piece ladder unit, shared designation as E&F-176",
F-177*,1970,Seagrave 100’ rear mount aerial,,Truck Co.  26 (4/13/1970 - 3/24/1982),,,,,,,,,"One piece ladder unit, shared designation as E&F-177",
F-178*,1970,Seagrave 100’ rear mount aerial,,Truck Co. 11 (4/24/1970 - 10/15/1982),Truck Co. 24 (6/21/1991 - 4/29/2000),,,,,,,,"One piece ladder unit, shared designation as E&F-178",
F-179*,1970,Seagrave 100’ rear mount aerial,,Truck Co. 20 (5/27/1970 - 11/25/1980),Truck Co. 37 (12/19/1980 - 1/7/1981),Truck Co. 13 (7/22/1991 - 7/31/2000),Spare truck,,,,,,"One piece ladder unit, shared designation as E&F-179",
F-180*,1970,Seagrave 100’ rear mount aerial,,Truck Co. 51 (5/22/1970 - 12/7/1982),,,,,,,,,"One piece ladder unit, shared designation as E&F-180",
F-181*,1970,Seagrave 100’ rear mount aerial,,Truck Co. 28 (10/1/1970 - 3/13/1975),Truck Co. 27 (3/21/1975 - 6/14/1975),Truck Co. 49 (6/14/1975 - 12/14/1982),,,,,,,"One piece ladder unit, shared designation as E&F-181",
F-182*,1970,Seagrave 100’ rear mount aerial,,Truck Co. 10 (9/10/1970 - 12/9/1980),Truck Co. 55 (4/18/1990 - 7/28/2000),Spare truck,,,,,,,"One piece ladder unit, shared designation as E&F-182",
F-183*,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 12 (9/3/1970 - 7/19/1971),,,,,,,,,"One piece ladder unit, shared designation as E&F-183",
F-184*,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 34 (9/3/1970 - 4/26/1981),,,,,,,,,"One piece ladder unit, shared designation as E&F-184",
F-185*,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 21 (9/11/1970 - 3/22/1974),Truck Co. 39 (4/1/1974 - 5/12/1983),Spare truck,,,,,,,"One piece ladder unit, shared designation as E&F-185",
F-186*,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 18 (9/17/1970 - 7/7/1982),,,,,,,,,"One piece ladder unit, shared designation as E&F-186",
F-187*,1970,WLF P80/Grove 100’ rear mount aerial,,Truck Co. 7,Truck Co. 61 (2/21/1974 - 5/12/1983),,,,,,,,"One piece ladder unit, shared designation as E&F-187",
F-188*,1972,Mack CF/Pirsch 100’ rear mount,,Truck Co. 5 (10/27/1972 - 11/4/1988),Truck Co. 22 (2/14/1991 - 2/5/1993),,,,,,,,"One piece ladder unit, shared designation as E&F-188",
F-189*,1972,Mack CF/Pirsch 100’ rear mount,,Truck Co. 22 (1/30/1973 - 2/14/1991),,,,,,,,,"One piece ladder unit, shared designation as E&F-189",
F-190*,1972,Mack CF/Pirsch 100’ rear mount,,Truck Co. 15 (1/19/1973 - 12/21/1992),,,,,,,,,"One piece ladder unit, shared designation as E&F-190",
F-191*,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 3 (2/28/1973 - 1/30/1974),Truck Co. 2,Truck Co. 9 (3/13/1974 - 8/27/1991),,,,,,,"One piece ladder unit, shared designation as E&F-191",
F-192*,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 1 (3/22/1973 - 1/15/1975),Truck Co. 55 (6/1975 - 4/18/1990),,,,,,,,"One piece ladder unit, shared designation as E&F-192",
F-193*,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 3 (1/30/1974 - 4/24/1975),Truck Co. 49 (5/9/1975 - 6/14/1975),Truck Co. 27 (6/14/1975 - 3/17/1986),Truck Co. 53 (5/4/1987 - 10/25/1993),,,,,,"One piece ladder unit, shared designation as E&F-193",
F-194*,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 4 (2/18/1974 - 8/4/1988),Truck Co. 31 (9/28/1991 - 2/7/2002),,,,,,,,"One piece ladder unit, shared designation as E&F-194",
F-195*,1973,American LaFrance 100’ rear mount aerial,,Truck Co. 21 (3/22/1974 - 3/17/1986),Truck Co. 9 (8/27/1991 - 5/16/2002),,,,,,,,"One piece ladder unit, shared designation as E&F-195",
F-196*,1974,Seagrave 100’ rear mount,,Truck Co. 7 (4/24/1974 - 5/1/1986),Truck Co. 22 (2/17/1993 - 1/16/2002),,,,,,,,"One piece ladder unit, shared designation as E&F-196",
F-197*,1974,Hendrickson/Pierce/Morita Lift 135’ rear mount aerial,,Truck Co. 1 (1/15/1975 - 2/6/1977),Truck Co. 1 (6/23/1977 - 1987),,,,,,,,"One piece ladder unit, shared designation as E&F-197",
