Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-163,1967,Mack MB (tractor),,Truck Co. 29 (5/26/1968 - 6/20/1972),Truck Co. 58 (6/30/1972 - 2/12/1975),Truck Co. 19 (3/13/1975 - 10/24/1975),Truck Co. 24 (11/6/1975 - 1/18/1979),,,,,,,Truck 58 (firemann57) Truck 24 (Midwest Fire Depts)
E-164,1967,Mack MB (tractor),,Truck Co. 42 (6/16/1971 - 11/8/1976),Truck Co. 62 (12/17/1976 - 12/6/1978),Truck Co. 24 (1/18/1979 - 8/29/1979),,,,,,,,Truck 42 (firemann57) Truck 62 (Midwest Fire Depts) Truck 62 (Bill Friedrich)
E-165,1967,Mack MB (tractor),,Truck Co. 48 (10/17/1968 - 3/16/1970),Truck Co. 32 (3/27/1970 - 8/4/1980),,,,,,,,,Truck 32 (Steve Redick) Truck 32 (firemann57) Truck 32 (firemann57) Truck 32 (Bill Friedrich) Truck 32 tractor (Bill Friedrich)
E-166,1967,Seagrave 100’ mid-mount aerial,60_/_200,Truck Co. 26 (9/1/1967 - 10/7/1969),Truck Co. 31 (3/9/1970 - 12/14/1978),Truck Co. 46 (4/30/1971 - 11/16/1971),Reserve Truck RT7,,,,,,Had small booster tank & pump; boosters and pump program on trucks discontinued in 1973 (existing removed & no new orders); Truck 46 OOS 11/16/1971,Truck 31 (Bill Friedrich) Truck 46 (Bill Friedrich) RT7 (Tim Vermande)
E-167,1967,Seagrave 100’ rear-mount aerial “Rear Admiral”,,Truck Co. 9 (7/14/1967 - 11/16/1968),Truck Co. 2 (11/16/1968 - 1/28/1970),Truck Co. 11 (1/30/1970 - 4/24/1970),Truck Co. 36 (5/18/1970 - 5/4/1976),Truck Co. 35 (7/15/1976 - 7/3/1979),,,,,Had four-wheel steering; Truck 9 OOS 11/16/1968; 100’ aerial may have been added after purchase from Seagrave - this was a demo model,Truck 36 (Midwest Fire Depts) Truck 35 (Bill Friedrich) Truck 35 (Bill Friedrich)
E-168,1967,Seagrave 100’ mid-mount aerial,,Truck Co. 44 (10/17/1967 - 1/20/1975),Truck Co. 60 (2/7/1975 - 12/15/1978),,,,,,,,,
E-169,1968,Seagrave 100’ rear-mount aerial “Rear Admiral”,,Truck Co. 1 (4/16/1968 - 3/22/1973),Truck Co. 29 (7/23/1973 - 12/16/1978),Truck Co. 32 (8/4/1980 - 2/14/1981),,,,,,,,Truck 29 (firemann57) Truck 29 (Bill Friedrich)
E-170,1968,Mack CF-600/Pirsch 100’ rear mount,60_/_300,Truck Co. 22 (12/13/1968 - 1/30/1973),Truck Co. 47 (7/2/1973 - 5/5/1977),Truck Co. 16 (5/20/1977 - 12/20/1978),Truck Co. 35 (7/3/1979 - 7/23/1981),Truck Co. 34,,,,,Had small booster tank & pump - was the tank 60 or 100 gallons (for all 3)?; Canvas replaced metal door to cover rear jacks; underwent minor rehab work & removal of booster reels before assignment to Truck 34,Truck 47 (Bill Friedrich) Truck 34 (Bill Friedrich)
E-171,1968,Mack CF-600/Pirsch 100’ rear mount,60_/_300,Truck Co. 16 (1/3/1969 - 2/1/1977),,,,,,,,,Had small booster tank & pump; destroyed in accident with “L” pillar at 63rd & Dorchester 2/1/1977; aerial ladder placed on E-229,Truck 16 (Bill Friedrich)
E-172,1968,Mack CF-600/Pirsch 100’ rear mount,60_/_300,Truck Co. 15 (1/10/1969 - 1/19/1973),Truck Co. 37 (3/9/1973 - 12/19/1980),Truck Co. 32,Spare truck,,,,,,Had small booster tank & pump; rear jacks had no cover,Truck 37 (Midwest Fire Depts) Truck 37 (Bill Friedrich) Truck 32 (Bill Friedrich) Truck 32 tractor (Bill Friedrich) Spare truck (Bill Friedrich)
